DateTime,Temperature (C),Temperature (F),Condition,Humidity,Wind (kph),Pressure (mb)
2024-04-12,2024-04-12 18:00,31.3,88.3,Sunny,55,18.8,1008.0
2024-04-12,2024-04-12 19:00,29.4,84.9,Clear,65,20.5,1009.0
2024-04-12,2024-04-12 20:00,28.1,82.6,Clear,74,16.9,1011.0
2024-04-12,2024-04-12 21:00,27.5,81.4,Clear,78,13.0,1011.0
2024-04-12,2024-04-12 22:00,26.9,80.5,Clear,81,10.1,1011.0
2024-04-12,2024-04-12 23:00,26.5,79.7,Clear,83,8.3,1011.0
2024-04-13,2024-04-13 00:00,27.6,81.7,Clear,77,10.8,1010.0
2024-04-13,2024-04-13 01:00,27.2,80.9,Clear,79,8.3,1010.0
2024-04-13,2024-04-13 02:00,26.7,80.1,Clear,81,6.5,1009.0
2024-04-13,2024-04-13 03:00,26.3,79.4,Partly cloudy,83,6.1,1009.0
2024-04-13,2024-04-13 04:00,26.1,78.9,Partly cloudy,84,6.8,1009.0
2024-04-13,2024-04-13 05:00,25.9,78.6,Patchy rain possible,85,6.5,1010.0
2024-04-13,2024-04-13 06:00,26.2,79.2,Patchy rain possible,83,5.0,1011.0
2024-04-13,2024-04-13 07:00,26.6,79.8,Moderate or heavy rain shower,76,6.1,1011.0
2024-04-13,2024-04-13 08:00,28.3,82.9,Patchy rain possible,69,7.2,1012.0
2024-04-13,2024-04-13 09:00,29.6,85.3,Moderate or heavy rain shower,60,4.3,1012.0
2024-04-13,2024-04-13 10:00,31.8,89.3,Cloudy,52,8.3,1012.0
2024-04-13,2024-04-13 11:00,34.7,94.5,Cloudy,45,7.2,1011.0
2024-04-13,2024-04-13 12:00,35.5,95.8,Patchy rain possible,40,5.4,1009.0
2024-04-13,2024-04-13 13:00,36.1,96.9,Partly cloudy,37,9.4,1008.0
2024-04-13,2024-04-13 14:00,36.4,97.6,Sunny,36,11.5,1006.0
2024-04-13,2024-04-13 15:00,35.0,94.9,Patchy rain possible,35,15.5,1006.0
2024-04-13,2024-04-13 16:00,34.1,93.4,Patchy rain possible,37,20.9,1006.0
2024-04-13,2024-04-13 17:00,33.1,91.6,Partly cloudy,43,19.4,1007.0
2024-04-13,2024-04-13 18:00,31.6,88.9,Sunny,54,16.4,1008.0
2024-04-13,2024-04-13 19:00,29.6,85.3,Clear,65,17.3,1009.0
2024-04-13,2024-04-13 20:00,28.8,83.9,Clear,71,19.1,1010.0
2024-04-13,2024-04-13 21:00,28.3,83.0,Clear,73,16.6,1011.0
2024-04-13,2024-04-13 22:00,27.9,82.1,Clear,73,13.7,1011.0
2024-04-13,2024-04-13 23:00,27.4,81.2,Clear,74,10.1,1011.0
2024-04-14,2024-04-14 00:00,28.1,82.6,Clear,75,9.4,1010.0
2024-04-14,2024-04-14 01:00,27.8,82.1,Clear,76,7.9,1010.0
2024-04-14,2024-04-14 02:00,27.5,81.5,Partly cloudy,78,6.8,1009.0
2024-04-14,2024-04-14 03:00,27.2,81.0,Cloudy,79,6.1,1009.0
2024-04-14,2024-04-14 04:00,27.0,80.6,Cloudy,80,4.3,1009.0
2024-04-14,2024-04-14 05:00,26.8,80.2,Cloudy,81,4.3,1010.0
2024-04-14,2024-04-14 06:00,27.0,80.6,Patchy rain possible,80,5.4,1011.0
2024-04-14,2024-04-14 07:00,28.5,83.3,Moderate rain at times,74,6.8,1012.0
2024-04-14,2024-04-14 08:00,29.9,85.9,Moderate rain at times,66,8.6,1012.0
2024-04-14,2024-04-14 09:00,31.7,89.0,Patchy rain possible,56,10.1,1013.0
2024-04-14,2024-04-14 10:00,33.4,92.0,Partly cloudy,47,10.4,1012.0
2024-04-14,2024-04-14 11:00,34.9,94.8,Partly cloudy,40,11.2,1011.0
2024-04-14,2024-04-14 12:00,36.5,97.8,Sunny,34,12.6,1010.0
2024-04-14,2024-04-14 13:00,37.7,99.9,Sunny,30,15.5,1008.0
2024-04-14,2024-04-14 14:00,38.2,100.7,Sunny,27,20.2,1007.0
2024-04-14,2024-04-14 15:00,37.7,99.8,Sunny,28,25.2,1007.0
2024-04-14,2024-04-14 16:00,36.1,97.0,Sunny,32,22.3,1007.0
2024-04-14,2024-04-14 17:00,34.0,93.3,Sunny,38,22.1,1008.0
2024-04-14,2024-04-14 18:00,31.7,89.1,Sunny,46,18.2,1009.0
2024-04-14,2024-04-14 19:00,30.0,86.0,Clear,56,20.2,1010.0
2024-04-14,2024-04-14 20:00,28.7,83.6,Clear,66,17.6,1011.0
2024-04-14,2024-04-14 21:00,27.9,82.3,Clear,72,15.1,1011.0
2024-04-14,2024-04-14 22:00,27.5,81.5,Clear,74,13.7,1012.0
2024-04-14,2024-04-14 23:00,27.2,81.0,Clear,76,10.4,1011.0
2024-04-15,2024-04-15 00:00,26.8,80.2,Clear,76,6.5,1011.0
2024-04-15,2024-04-15 01:00,26.5,79.7,Clear,78,6.1,1010.0
2024-04-15,2024-04-15 02:00,26.2,79.1,Clear,79,6.5,1010.0
2024-04-15,2024-04-15 03:00,26.0,78.8,Clear,80,6.8,1010.0
2024-04-15,2024-04-15 04:00,25.7,78.3,Clear,81,7.2,1010.0
2024-04-15,2024-04-15 05:00,25.5,77.9,Clear,82,7.6,1011.0
2024-04-15,2024-04-15 06:00,25.8,78.4,Clear,81,6.8,1012.0
2024-04-15,2024-04-15 07:00,27.8,82.0,Sunny,74,7.2,1013.0
2024-04-15,2024-04-15 08:00,29.6,85.2,Patchy rain possible,65,8.3,1013.0
